P,Player,Week,Team,Opp,Opp Rank,FDSal,,DK Salary,FD Points,DK Points,DK Multiplier
WR,Diontae Johnson,2,PIT,LV,12,6600,6400,6.4,15,22.5,3.5
WR,Keenan Allen,3,LAC,KC,18,6900,6600,6.6,15,19,2.9
WR,Randall Cobb,8,GB,ARI,20,5300,3500,3.5,15,16.5,4.7
WR,Cooper Kupp,9,LAR,TEN,32,9400,9400,9.4,15,20.5,2.2
WR,Darnell Mooney,12,CHI,DET,14,6800,5700,5.7,15,20.5,3.6
WR,Stefon Diggs,4,BUF,HOU,9,8000,7600,7.6,14.9,21.4,2.8
WR,Michael Pittman Jr.,9,IND,NYJ,6,7300,6000,6,14.9,17.4,2.9
WR,Hunter Renfrow,18,LV,LAC,3,7000,6600,6.6,14.9,16.9,2.6
WR,A.J. Brown,18,TEN,HOU,23,7400,7000,7,14.8,16.8,2.4
WR,DeAndre Hopkins,7,ARI,HOU,5,8000,7700,7.7,14.8,18.3,2.4
WR,DeVante Parker,15,MIA,NYJ,10,5800,4300,4.3,14.8,16.8,3.9
WR,Russell Gage,7,ATL,MIA,30,5200,4000,4,14.7,16.7,4.2
WR,Jakeem Grant Sr.,13,CHI,ARI,11,4800,3000,3,14.7,17.2,5.7
WR,Hunter Renfrow,13,LV,WAS,29,6400,5800,5.8,14.7,22.2,3.8
WR,Ja'Marr Chase,21,CIN,KC,22,8000,6700,6.7,14.7,17.7,2.6
WR,Zay Jones,19,LV,CIN,15,5300,4000,4,14.6,17.1,4.3
WR,Cooper Kupp,19,LAR,ARI,29,10000,9000,9,14.6,17.1,1.9
WR,Mike Evans,3,TB,LAR,6,7100,6300,6.3,14.6,21.6,3.4
WR,Kenny Golladay,4,NYG,NO,18,5900,5500,5.5,14.6,20.6,3.7
WR,Deebo Samuel,5,SF,ARI,25,7700,7100,7.1,14.6,16.1,2.3
WR,Kalif Raymond,7,DET,LAR,13,5500,4700,4.7,14.6,20.6,4.4
WR,Damiere Byrd,14,CHI,GB,17,4900,3300,3.3,14.6,15.6,4.7
WR,Marvin Jones Jr.,2,JAX,DEN,23,6100,4700,4.7,14.5,17.5,3.7
WR,DK Metcalf,4,SEA,SF,15,7700,7200,7.2,14.5,16.5,2.3
WR,Allen Lazard,7,GB,WAS,31,5500,4200,4.2,14.5,17,4.0
WR,Josh Reynolds,12,DET,CHI,27,4900,3000,3,14.5,16,5.3
WR,James Washington,14,PIT,MIN,32,4900,3300,3.3,14.5,16.5,5.0
WR,Robby Anderson,18,CAR,TB,11,5500,4500,4.5,14.5,18,4.0
WR,Mecole Hardman,21,KC,CIN,15,5300,4000,4,14.5,16,4.0
WR,Amari Cooper,4,DAL,CAR,7,7600,6000,6,14.4,15.9,2.7
WR,Hunter Renfrow,9,LV,NYG,19,5600,4800,4.8,14.4,17.9,3.7
WR,Davante Adams,12,GB,LAR,10,8700,8600,8.6,14.4,21.4,2.5
WR,Cam Sims,14,WAS,DAL,30,4600,3000,3,14.4,15.9,5.3
WR,Quintez Cephus,2,DET,GB,13,5200,3400,3.4,14.3,16.3,4.8
WR,Julio Jones,18,TEN,HOU,23,5700,5000,5,14.3,16.8,3.4
WR,Tyreek Hill,19,KC,PIT,12,8000,7300,7.3,14.2,16.7,2.3
